"file","id","brand","category","name","spec","imageStatus","detail"
"juwei-products.json","E80960","居居加","清潔布／擦拭布","居居加3D立體深層擦拭布","5張","已有圖","image-data/E80960.txt (18100 bytes)"
"juwei-products.json","E82000","鉅瑋","口罩","鉅瑋醫療口罩－涼感黑","5入","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20010","優品","居家除蟲","優品無蠅腳誘殺果蠅餌劑","50g","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20050","優品","居家除蟲","優品蟻絕劑除蟻膏","80g","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20060","優品","居家除蟲","優品蟻巢淨除蟻錠","3g×4入","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20100","優品","居家除蟲","優品別慌蟑捕蟑屋","5片（小）","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20110","優品","居家除蟲","優品愛潔美A+除蟑錠","10入","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20200","優品","防蚊驅蟲","優品香茅油（含噴槍）","525ml","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20210","優品","防蚊驅蟲","優品樟腦油（含噴槍）","525ml","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20300","優品","防蚊驅蟲","優品防蚊液","80ml","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20310","優品","防蚊驅蟲","優品草本驅蚊貼片","12入","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20320","優品","防蚊驅蟲","優品文文不叮天然香茅精油防蚊膏","120g","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20400","優品","捕鼠用品","優品粘牢鼠小型黏鼠板（原味）","2片入","缺圖","無 image 欄位或空值"
"you-pin-products.json","U20410","優品","捕鼠用品","優品粘牢鼠小型黏鼠板（五香滷味）","2片入","缺圖","無 image 欄位或空值"
"you-pin-products.json","U21010","優品","廚房清潔","優品水槽管路清潔錠","3入","缺圖","無 image 欄位或空值"
